4129.19,4160.79,4071.28,4197.42
4135.09,4167.95,4078.08,4205.32
4134.58,4170.58,4082.61,4206.42
4181.65,4234.21,4116.23,4266.86
4136.93,4172.31,4078.75,4210.88
4149.04,4187.49,4095.7,4224.5
4154.98,4205.52,4102.44,4243.28
4122.59,4151.42,4067.67,4189.41
4119.54,4146.13,4059.51,4185.59
4079.36,4127.24,4036.23,4167.09
4126.99,4164.27,4071.43,4203.34
4143.16,4190.9,4087.8,4229.56
4136.75,4162.99,4076.81,4201.8
4133.4,4171.24,4083.22,4206.25
4168.32,4201.83,4108.45,4239.44
4172.19,4210.92,4121.76,4248.04
